"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"110",2016-08-16,2016-08-17,"bir1","Birmingham Tyburn","o3",NA,61724,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"111",2016-08-17,2016-08-18,"bir1","Birmingham Tyburn","o3",NA,61724,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"112",2016-08-18,2016-08-19,"bir1","Birmingham Tyburn","o3",NA,61724,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"113",2016-08-15,2016-08-16,"bir1","Birmingham Tyburn","pm25",9.304348,65309,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"114",2016-08-16,2016-08-17,"bir1","Birmingham Tyburn","pm25",8.556522,65309,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"115",2016-08-17,2016-08-18,"bir1","Birmingham Tyburn","pm25",14.095652,65309,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"116",2016-08-18,2016-08-19,"bir1","Birmingham Tyburn","pm25",15.978261,65309,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"117",2016-08-15,2016-08-16,"birt","Birmingham Tyburn Roadside","no2",34.385156,65486,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"118",2016-08-16,2016-08-17,"birt","Birmingham Tyburn Roadside","no2",33.309375,65486,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"119",2016-08-17,2016-08-18,"birt","Birmingham Tyburn Roadside","no2",42.210469,65486,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"120",2016-08-18,2016-08-19,"birt","Birmingham Tyburn Roadside","no2",39.301875,65486,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"121",2016-08-15,2016-08-16,"birt","Birmingham Tyburn Roadside","o3",36.496364,65487,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"122",2016-08-16,2016-08-17,"birt","Birmingham Tyburn Roadside","o3",39.672853,65487,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"123",2016-08-17,2016-08-18,"birt","Birmingham Tyburn Roadside","o3",46.383394,65487,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"124",2016-08-18,2016-08-19,"birt","Birmingham Tyburn Roadside","o3",56.104116,65487,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"125",2016-08-15,2016-08-16,"birt","Birmingham Tyburn Roadside","pm25",12.408333,65489,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"126",2016-08-16,2016-08-17,"birt","Birmingham Tyburn Roadside","pm25",10.991667,65489,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"127",2016-08-17,2016-08-18,"birt","Birmingham Tyburn Roadside","pm25",16.570833,65489,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"128",2016-08-18,2016-08-19,"birt","Birmingham Tyburn Roadside","pm25",19.429167,65489,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"129",2016-08-15,2016-08-16,"blar","Blackburn Accrington Road","no2",34.99875,74626,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"130",2016-08-16,2016-08-17,"blar","Blackburn Accrington Road","no2",42.401719,74626,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"131",2016-08-17,2016-08-18,"blar","Blackburn Accrington Road","no2",45.995625,74626,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"132",2016-08-18,2016-08-19,"blar","Blackburn Accrington Road","no2",NA,74626,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"133",2016-08-15,2016-08-16,"blc2","Blackpool Marton","no2",19.008587,61923,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"134",2016-08-16,2016-08-17,"blc2","Blackpool Marton","no2",18.626087,61923,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"135",2016-08-17,2016-08-18,"blc2","Blackpool Marton","no2",13.462337,61923,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"136",2016-08-18,2016-08-19,"blc2","Blackpool Marton","no2",14.194076,61923,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"137",2016-08-15,2016-08-16,"blc2","Blackpool Marton","o3",44.122324,61925,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"138",2016-08-16,2016-08-17,"blc2","Blackpool Marton","o3",54.352456,61925,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"139",2016-08-17,2016-08-18,"blc2","Blackpool Marton","o3",58.595487,61925,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"140",2016-08-18,2016-08-19,"blc2","Blackpool Marton","o3",71.185751,61925,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"141",2016-08-15,2016-08-16,"blc2","Blackpool Marton","pm25",8.621739,65373,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"142",2016-08-16,2016-08-17,"blc2","Blackpool Marton","pm25",7.534783,65373,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"143",2016-08-17,2016-08-18,"blc2","Blackpool Marton","pm25",9.173913,65373,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"144",2016-08-18,2016-08-19,"blc2","Blackpool Marton","pm25",16.752174,65373,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"145",2016-08-15,2016-08-16,"bold","Oldbury Birmingham Road","no2",46.773098,74650,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"146",2016-08-16,2016-08-17,"bold","Oldbury Birmingham Road","no2",40.062717,74650,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"147",2016-08-17,2016-08-18,"bold","Oldbury Birmingham Road","no2",52.103152,74650,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"148",2016-08-18,2016-08-19,"bold","Oldbury Birmingham Road","no2",43.596685,74650,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"149",2016-08-15,2016-08-16,"born","Bournemouth","no2",15.457989,431,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"150",2016-08-16,2016-08-17,"born","Bournemouth","no2",14.805938,431,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"151",2016-08-17,2016-08-18,"born","Bournemouth","no2",20.08125,431,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"152",2016-08-18,2016-08-19,"born","Bournemouth","no2",17.897813,431,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"153",2016-08-15,2016-08-16,"born","Bournemouth","o3",49.710284,61455,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"154",2016-08-16,2016-08-17,"born","Bournemouth","o3",62.598457,61455,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"155",2016-08-17,2016-08-18,"born","Bournemouth","o3",69.508568,61455,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"156",2016-08-18,2016-08-19,"born","Bournemouth","o3",78.472587,61455,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"157",2016-08-15,2016-08-16,"bot","Bottesford","o3",46.316871,66,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
"158",2016-08-16,2016-08-17,"bot","Bottesford","o3",50.848773,66,12,1,0,0,24,"ugm-3","daily_mean",14,"rural"
