"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"59",2692,"ABD0","GE10",2009-06-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",6,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd0","ge10"
"60",3212,"ABD3","PM25",2014-04-11,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",7,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","pm25"
"61",2257,"ABD3","NO2",2005-01-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",3,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","no2"
"62",3138,"ABD3","M_DIR",2010-08-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1374,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","wd"
"63",3213,"ABD3","NV25",2014-04-11,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1009,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","nv25"
"64",2258,"ABD3","GE10",2005-01-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",6,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","ge10"
"65",3210,"ABD3","NV10",2014-04-11,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1007,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","nv10"
"66",3214,"ABD3","V25",2014-04-11,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1010,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","v25"
"67",2259,"ABD3","NOXasNO2",2005-01-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",9,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","nox"
"68",3211,"ABD3","V10",2014-04-11,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1008,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","v10"
"69",2256,"ABD3","NO",2005-01-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",2,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","no"
"70",2260,"ABD3","PM10",2005-01-01,2014-04-10,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",999,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","pm10"
"71",3136,"ABD3","M_T",2010-08-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1372,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","temp"
"72",3137,"ABD3","M_SPED",2010-08-01,NA,"measurement","Aberdeen Union Street Roadside",57.144555,-2.106472,"20",1373,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd3","ws"
"73",2883,"ABD8","M_DIR",2010-08-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",1374,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","wd"
"74",2512,"ABD8","GE10",2008-01-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",6,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd8","ge10"
"75",3310,"ABD8","PM25",2016-09-20,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",7,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","pm25"
"76",2513,"ABD8","NOXasNO2",2008-01-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",9,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd8","nox"
"77",2881,"ABD8","M_T",2010-08-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",1372,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","temp"
"78",2510,"ABD8","NO",2008-01-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",2,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd8","no"
"79",3311,"ABD8","PM1",2016-09-20,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",1380,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","pm1"
"80",2514,"ABD8","PM10",2008-01-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",999,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd8","pm10"
"81",2882,"ABD8","M_SPED",2010-08-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",1373,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","ws"
"82",2511,"ABD8","NO2",2008-01-01,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",3,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd8","no2"
"83",3312,"ABD8","TSP",2016-09-20,NA,"measurement","Aberdeen Wellington Road",57.134195,-2.093968,"1.5",1381,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd8","tsp"
"84",1252,"5140","NO3-N(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",758,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","no3-n(d)"
"85",1245,"5140","K",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",749,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","k"
"86",1238,"5140","SO4-S",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",742,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","so4-s"
"87",1263,"5140","sum+",1986-05-27,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",772,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","sum+"
"88",1256,"5140","Ca(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",762,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","ca(d)"
"89",1249,"5140","calccond",1986-05-27,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",755,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","calccond"
"90",1242,"5140","Mg",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",746,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","mg"
"91",1267,"5140","rem b",1987-01-13,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",776,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","rem_b"
"92",1260,"5140","SO4-S(NM)(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",767,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","so4-s(nm)(d)"
"93",1253,"5140","NH4-N(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",759,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","nh4-n(d)"
"94",1246,"5140","PO4-P",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",750,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","po4-p"
"95",1239,"5140","NO3-N",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",743,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","no3-n"
"96",1264,"5140","sum-",1986-05-27,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",773,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","sum-"
"97",1257,"5140","Cl(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",763,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","cl(d)"
"98",1250,"5140","H+",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",756,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","h+"
"99",1243,"5140","Ca",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",747,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","ca"
"100",1268,"5140","NO2-N",1991-06-25,1993-01-05,"md_measurement","Achanarras",NA,NA,"98",848,"35","Other Acid deposition measurements",NA,"Highland",NA,"scotarc","5140","no2-n"
"101",1261,"5140","H+(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",769,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","h+(d)"
"102",1254,"5140","Na(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",760,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","na(d)"
"103",1247,"5140","SO4-S(NM)",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",752,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","so4-s(nm)"
"104",1240,"5140","NH4-N",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",744,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","nh4-n"
"105",1265,"5140","diff",1986-05-27,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",774,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","diff"
"106",1258,"5140","K(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",764,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","k(d)"
"107",1251,"5140","SO4-S(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",757,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","so4-s(d)"
